COMMON_CURRENT
! general FORMAT
18
2.000000e+00 1.000000e-02 2.500000e+00 1.000000e-02 10
3.000000e+00 1.000000e-02 3.500000e+00 1.000000e-02 -1.070309e+01 0.000000e+00
3.500000e+00 1.000000e-02 4.000000e+00 1.000000e-02 -2.703523e+00 0.000000e+00
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 -1.120879e+00 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 -4.748961e-01 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 -1.771109e-01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 -1.080799e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 -8.296853e-02 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 -6.331004e-02 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 -4.822180e-02 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 -3.737528e-02 0.000000e+00

2.500000e+00 1.000000e-02 3.000000e+00 1.000000e-02 10
3.500000e+00 1.000000e-02 4.000000e+00 1.000000e-02 -1.077952e+01 0.000000e+00
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 -2.764384e+00 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 -9.869783e-01 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 -3.245897e-01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 -1.679588e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 -1.181468e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 -8.604299e-02 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 -6.346873e-02 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 -4.797310e-02 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 -3.971383e-02 0.000000e+00

3.000000e+00 1.000000e-02 3.500000e+00 1.000000e-02 10
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 -1.094056e+01 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 -2.554693e+00 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 -6.941748e-01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 -2.878830e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 -1.776937e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 -1.208638e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 -8.526125e-02 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 -6.233097e-02 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 -5.015711e-02 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 -4.884114e-02 0.000000e+00

3.500000e+00 1.000000e-02 4.000000e+00 1.000000e-02 10
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 -1.068800e+01 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 -1.955169e+00 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 -5.838725e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 -2.903984e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 -1.766868e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 -1.163711e-01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 -8.104672e-02 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 -6.271277e-02 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 -5.937957e-02 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 -5.162476e-02 0.000000e+00

4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 10
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 -9.680143e+00 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 -1.717332e+00 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 -5.827356e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 -2.857249e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 -1.650211e-01 0.000000e+00
