COMMON_CURRENT
! general FORMAT
19
2.000000e+00 1.000000e-02 2.000000e+00 1.000000e-02 10
2.500000e+00 1.000000e-02 3.000000e+00 1.000000e-02 1.610210e+01 0.000000e+00
3.000000e+00 1.000000e-02 3.500000e+00 1.000000e-02 5.479856e+00 0.000000e+00
3.500000e+00 1.000000e-02 4.000000e+00 1.000000e-02 2.875305e+00 0.000000e+00
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 1.747123e+00 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 9.092457e-01 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 4.626481e-01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 4.074688e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 3.723629e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 3.164886e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 2.630370e-01 0.000000e+00

2.500000e+00 1.000000e-02 2.500000e+00 1.000000e-02 10
3.000000e+00 1.000000e-02 3.500000e+00 1.000000e-02 1.618294e+01 0.000000e+00
3.500000e+00 1.000000e-02 4.000000e+00 1.000000e-02 5.578828e+00 0.000000e+00
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 2.868002e+00 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 1.384142e+00 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 6.397590e-01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 5.155487e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 4.553314e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 3.797987e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 3.112588e-01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 2.580727e-01 0.000000e+00

3.000000e+00 1.000000e-02 3.000000e+00 1.000000e-02 10
3.500000e+00 1.000000e-02 4.000000e+00 1.000000e-02 1.635835e+01 0.000000e+00
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 5.632386e+00 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 2.371120e+00 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 9.643488e-01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 6.835075e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 5.734782e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 4.658417e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 3.747275e-01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 3.060458e-01 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 2.735026e-01 0.000000e+00

3.500000e+00 1.000000e-02 3.500000e+00 1.000000e-02 10
4.000000e+00 1.000000e-02 4.500000e+00 1.000000e-02 1.657294e+01 0.000000e+00
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 4.925813e+00 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 1.658524e+00 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 9.713905e-01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 7.511719e-01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 5.867054e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 4.599887e-01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 3.683768e-01 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 3.236597e-01 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 3.380586e-01 0.000000e+00

4.000000e+00 1.000000e-02 4.000000e+00 1.000000e-02 10
4.500000e+00 1.000000e-02 5.000000e+00 1.000000e-02 1.561381e+01 0.000000e+00
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 3.613693e+00 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 1.555263e+00 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 1.041570e+00 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 7.633922e-01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 5.763598e-01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 4.494235e-01 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 3.863725e-01 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 3.974382e-01 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 3.605458e-01 0.000000e+00

4.500000e+00 1.000000e-02 4.500000e+00 1.000000e-02 10
5.000000e+00 1.000000e-02 5.500000e+00 1.000000e-02 1.329384e+01 0.000000e+00
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 3.272595e+00 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 1.624306e+00 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 1.049117e+00 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 7.413809e-01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 5.544176e-01 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 4.620761e-01 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 4.656277e-01 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 4.185586e-01 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 2.925420e-01 0.000000e+00

5.000000e+00 1.000000e-02 5.000000e+00 1.000000e-02 10
5.500000e+00 1.000000e-02 6.000000e+00 1.000000e-02 1.295143e+01 0.000000e+00
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 3.576873e+00 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 1.739332e+00 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 1.060855e+00 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 7.259792e-01 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 5.688221e-01 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 5.512621e-01 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 4.877234e-01 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 3.369108e-01 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 2.438765e-01 0.000000e+00

5.500000e+00 1.000000e-02 5.500000e+00 1.000000e-02 10
6.000000e+00 1.000000e-02 6.500000e+00 1.000000e-02 1.425824e+01 0.000000e+00
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 4.284215e+00 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 2.034968e+00 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 1.186405e+00 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 8.238159e-01 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 7.353001e-01 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 6.286753e-01 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 4.238779e-01 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 2.985425e-01 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 2.350987e-01 0.000000e+00

6.000000e+00 1.000000e-02 6.000000e+00 1.000000e-02 10
6.500000e+00 1.000000e-02 7.000000e+00 1.000000e-02 1.520609e+01 0.000000e+00
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 4.773965e+00 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 2.277609e+00 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 1.370951e+00 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 1.101130e+00 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 8.984767e-01 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 5.864265e-01 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 3.980587e-01 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 3.032424e-01 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 2.467712e-01 0.000000e+00

6.500000e+00 1.000000e-02 6.500000e+00 1.000000e-02 10
7.000000e+00 1.000000e-02 7.500000e+00 1.000000e-02 1.551362e+01 0.000000e+00
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 4.930837e+00 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 2.439109e+00 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 1.720286e+00 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 1.325399e+00 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 8.339881e-01 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 5.435711e-01 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 3.991117e-01 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 3.155490e-01 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 2.600219e-01 0.000000e+00

7.000000e+00 1.000000e-02 7.000000e+00 1.000000e-02 9
7.500000e+00 1.000000e-02 8.000000e+00 1.000000e-02 1.554333e+01 0.000000e+00
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 5.034642e+00 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 2.881407e+00 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 2.039383e+00 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 1.224913e+00 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 7.600965e-01 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 5.336697e-01 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 4.074279e-01 0.000000e+00
1.150000e+01 1.000000e-02 1.200000e+01 1.000000e-02 3.270783e-01 0.000000e+00

7.500000e+00 1.000000e-02 7.500000e+00 1.000000e-02 8
8.000000e+00 1.000000e-02 8.500000e+00 1.000000e-02 1.555075e+01 0.000000e+00
8.500000e+00 1.000000e-02 9.000000e+00 1.000000e-02 5.629161e+00 0.000000e+00
9.000000e+00 1.000000e-02 9.500000e+00 1.000000e-02 3.405022e+00 0.000000e+00
9.500000e+00 1.000000e-02 1.000000e+01 1.000000e-02 1.914300e+00 0.000000e+00
1.000000e+01 1.000000e-02 1.050000e+01 1.000000e-02 1.115532e+00 0.000000e+00
1.050000e+01 1.000000e-02 1.100000e+01 1.000000e-02 7.392466e-01 0.000000e+00
1.100000e+01 1.000000e-02 1.150000e+01 1.000000e-02 5.390754e-01 0.000000e+00
